Year,Month,Unemployment Rate,Unemployment Rate - 16-19 yrs.,"Unemployment Rate - 20 yrs. & over, Men","Unemployment Rate - 20 yrs. & over, Women",Unemployment Rate - White,Unemployment Rate - Black or African American,Unemployment Rate - Asian,Unemployment Rate - Hispanic or Latino,"Unemployment Rate - Less than a High School Diploma, 25 yrs. & over","Unemployment Rate - High School Graduates, No College, 25 yrs. & over","Unemployment Rate - Some College or Associate Degree, 25 yrs. & over","Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over",Average Weeks Unemployed
2010,Jan,9.8,26.1,10.2,7.9,8.8,16.5,8.3,12.9,15.3,10.2,8.6,4.9,30.3
2010,Feb,9.8,25.6,10.3,8,8.9,16.1,8.2,12.7,15.8,10.7,8.1,4.9,29.8
2010,Mar,9.9,26.2,10.2,8.1,8.9,16.8,7.6,12.9,14.9,11,8.4,4.9,31.6
2010,Apr,9.9,25.4,10.2,8.3,9,16.6,7,12.5,14.7,10.8,8.4,4.8,33.3
2010,May,9.6,26.5,9.7,8.1,8.7,15.5,7.8,12,14.6,10.9,8.2,4.6,34
2010,Jun,9.4,25.9,9.7,7.7,8.6,15.2,7.4,12.3,14.2,10.6,8.1,4.4,34.5
2010,Jul,9.4,25.9,9.6,7.9,8.5,15.6,7.9,12.2,13.5,10,8.3,4.5,33.9
2010,Aug,9.5,25.5,9.6,8,8.6,15.9,7.3,12,14.1,10,8.7,4.6,33.7
2010,Sep,9.5,25.8,9.6,8,8.6,16,6.6,12.3,15.6,9.7,8.9,4.5,33.4
2010,Oct,9.4,27.2,9.4,8,8.6,15.6,7.2,12.3,15,9.8,8.2,4.6,34
2010,Nov,9.8,24.8,9.9,8.4,8.9,16.2,7.5,12.9,15.4,10,8.6,5,33.9
2010,Dec,9.3,25.3,9.4,8,8.5,15.5,7.2,12.9,15,9.8,8.1,4.8,34.7
2011,Jan,9.1,25.7,9,7.9,8.1,15.8,6.8,12.3,14.3,9.5,8.1,4.3,37.2
2011,Feb,9,24.1,8.9,7.9,8.1,15.5,6.7,11.8,14,9.7,7.9,4.3,37.4
2011,Mar,9,24.4,8.8,7.8,8,15.8,7.3,11.6,14.1,9.7,7.5,4.4,39.1
2011,Apr,9.1,24.7,8.9,8,8.1,16.5,6.5,11.9,14.7,9.9,7.5,4.5,38.7
2011,May,9,23.9,8.8,8,7.9,16.3,7.2,11.6,14.5,9.6,7.8,4.5,39.6
2011,Jun,9.1,24.5,9,8,8.1,16.2,6.5,11.5,14.4,10,8.3,4.3,39.9
2011,Jul,9,24.7,8.8,7.9,8,15.9,7.4,11.2,14.5,9.1,8.3,4.2,40.7
2011,Aug,9,25,8.7,7.9,7.9,16.4,7.2,11.2,14.1,9.3,8.3,4.2,40.5
2011,Sep,9,24.4,8.7,8.2,7.9,15.9,8,11.2,14.3,9.4,8.5,4.2,40.4
2011,Oct,8.8,24.2,8.6,7.8,7.9,14.6,7.4,11.3,13.5,9.4,8.1,4.3,38.7
2011,Nov,8.6,24.2,8.2,7.8,7.7,15.6,6.4,11.2,12.8,8.8,7.7,4.4,40.2
2011,Dec,8.5,23.3,8,7.8,7.5,15.4,6.8,11.1,13.7,8.7,7.6,4.1,40.4
2012,Jan,8.3,23.6,7.7,7.6,7.4,13.6,6.7,10.7,13,8.5,7.1,4.3,40.2
2012,Feb,8.3,23.8,7.7,7.6,7.4,14,6.2,10.9,13.1,8.3,7.2,4.2,39.7
2012,Mar,8.2,24.8,7.7,7.4,7.3,14,6.4,10.6,12.8,8.1,7.5,4.1,39.3
2012,Apr,8.2,25,7.6,7.4,7.4,13.3,5.4,10.3,12.5,8,7.6,4,39.2
2012,May,8.2,24.4,7.7,7.4,7.4,13.5,5.5,10.9,12.9,8.3,7.7,3.9,39.6
2012,Jun,8.2,23.3,7.7,7.4,7.3,14.5,6.1,10.9,12.6,8.6,7.3,4,40.3
2012,Jul,8.2,23.6,7.7,7.4,7.3,14.2,5.9,10.2,12.4,8.5,7.2,4.1,39.3
2012,Aug,8.1,24.2,7.6,7.3,7.2,13.8,5.9,10.1,11.8,8.6,6.7,4.1,39.6
2012,Sep,7.8,23.8,7.3,7.1,7,13.6,4.9,9.7,11.7,8.5,6.6,4,39.8
2012,Oct,7.8,23.9,7.2,7.1,6.9,14.1,4.9,10,12.1,8.3,6.9,3.7,39.6
2012,Nov,7.7,23.9,7.2,7,6.8,13.3,6.3,9.9,12,8,6.5,3.9,39
2012,Dec,7.9,24.1,7.2,7.4,6.9,14,6.6,9.6,11.8,8,6.9,4,37.6
2013,Jan,8,23.7,7.5,7.2,7.1,13.7,6.4,9.7,12,8.1,6.9,3.8,35.6
2013,Feb,7.7,25.2,7,7,6.8,13.8,6,9.7,11.3,7.9,6.5,3.9,36.4
